rank,uri.x,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,date,uri_numeric,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri.y,track_href,analysis_url,duration_ms,time_signature
39,spotify:track:5oIVNm56t6OIf9ZjdEG3ud,Sabrina Carpenter,Coincidence,Island Records,17,48,12,101978,2024-09-03,5oIVNm56t6OIf9ZjdEG3ud,0.418,0.815,9,-6.216,1,0.125,0.362,0,0.125,0.758,77.862,audio_features,5oIVNm56t6OIf9ZjdEG3ud,spotify:track:5oIVNm56t6OIf9ZjdEG3ud,https://api.spotify.com/v1/tracks/5oIVNm56t6OIf9ZjdEG3ud,https://api.spotify.com/v1/audio-analysis/5oIVNm56t6OIf9ZjdEG3ud,164203,4
40,spotify:track:6StwwqB84sJeLr7tZDTxEX,"Post Malone, Luke Combs",Guy For That (Feat. Luke Combs),Mercury Records / Republic Records,4,35,40,100832,2024-09-03,6StwwqB84sJeLr7tZDTxEX,0.611,0.911,8,-4.106,1,0.0647,0.0061,0,0.135,0.495,119.986,audio_features,6StwwqB84sJeLr7tZDTxEX,spotify:track:6StwwqB84sJeLr7tZDTxEX,https://api.spotify.com/v1/tracks/6StwwqB84sJeLr7tZDTxEX,https://api.spotify.com/v1/audio-analysis/6StwwqB84sJeLr7tZDTxEX,164011,4
41,spotify:track:3iPIDAFybaoyqX7hvAfWkl,Sabrina Carpenter,Sharpest Tool,Island Records,12,51,12,98216,2024-09-03,3iPIDAFybaoyqX7hvAfWkl,0.716,0.63,4,-7.509,1,0.108,0.475,0,0.0943,0.588,91.003,audio_features,3iPIDAFybaoyqX7hvAfWkl,spotify:track:3iPIDAFybaoyqX7hvAfWkl,https://api.spotify.com/v1/tracks/3iPIDAFybaoyqX7hvAfWkl,https://api.spotify.com/v1/audio-analysis/3iPIDAFybaoyqX7hvAfWkl,218284,4
42,spotify:track:1CDQzbCz4KSQxHe7LMEgRM,Eminem,Houdini,Shady/Aftermath/Interscope Records,1,42,96,97710,2024-09-03,1CDQzbCz4KSQxHe7LMEgRM,0.936,0.878,9,-2.798,0,0.0723,0.0283,2.31e-6,0.0689,0.902,126.992,audio_features,1CDQzbCz4KSQxHe7LMEgRM,spotify:track:1CDQzbCz4KSQxHe7LMEgRM,https://api.spotify.com/v1/tracks/1CDQzbCz4KSQxHe7LMEgRM,https://api.spotify.com/v1/audio-analysis/1CDQzbCz4KSQxHe7LMEgRM,227032,4
43,spotify:track:2Dct3GykKZ58hpWRFfe2Qd,Zach Bryan,Heading South,Warner Records,23,39,497,95614,2024-09-03,2Dct3GykKZ58hpWRFfe2Qd,0.68,0.246,4,-14.112,1,0.058,0.783,0,0.106,0.388,110.23,audio_features,2Dct3GykKZ58hpWRFfe2Qd,spotify:track:2Dct3GykKZ58hpWRFfe2Qd,https://api.spotify.com/v1/tracks/2Dct3GykKZ58hpWRFfe2Qd,https://api.spotify.com/v1/audio-analysis/2Dct3GykKZ58hpWRFfe2Qd,171693,4
44,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Jimin,Who,BIGHIT MUSIC,34,47,44,95577,2024-09-03,7tI8dRuH2Yc6RuoTjxo4dU,0.66,0.756,0,-3.743,0,0.032,0.00289,0,0.193,0.838,116.034,audio_features,7tI8dRuH2Yc6RuoTjxo4dU,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,https://api.spotify.com/v1/tracks/7tI8dRuH2Yc6RuoTjxo4dU,https://api.spotify.com/v1/audio-analysis/7tI8dRuH2Yc6RuoTjxo4dU,170888,4
45,spotify:track:19RybK6XDbAVpcdxSbZL1o,Charli xcx,Apple,Atlantic Records,28,44,50,95486,2024-09-03,19RybK6XDbAVpcdxSbZL1o,0.804,0.957,0,-5.452,1,0.034,0.125,0.0174,0.114,0.962,126.035,audio_features,19RybK6XDbAVpcdxSbZL1o,spotify:track:19RybK6XDbAVpcdxSbZL1o,https://api.spotify.com/v1/tracks/19RybK6XDbAVpcdxSbZL1o,https://api.spotify.com/v1/audio-analysis/19RybK6XDbAVpcdxSbZL1o,151740,4
46,spotify:track:1k2pQc5i348DCHwbn5KTdc,Chappell Roan,Pink Pony Club,Chappell Roan PS/ Island,37,53,75,92294,2024-09-03,1k2pQc5i348DCHwbn5KTdc,0.61,0.65,6,-6.199,1,0.0474,0.399,0,0.11,0.507,106.719,audio_features,1k2pQc5i348DCHwbn5KTdc,spotify:track:1k2pQc5i348DCHwbn5KTdc,https://api.spotify.com/v1/tracks/1k2pQc5i348DCHwbn5KTdc,https://api.spotify.com/v1/audio-analysis/1k2pQc5i348DCHwbn5KTdc,258035,4
47,spotify:track:62bOmKYxYg7dhrC6gH9vFn,*NSYNC,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,Jive,17,40,40,92218,2024-09-03,62bOmKYxYg7dhrC6gH9vFn,0.61,0.926,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638,audio_features,62bOmKYxYg7dhrC6gH9vFn,spotify:track:62bOmKYxYg7dhrC6gH9vFn,https://api.spotify.com/v1/tracks/62bOmKYxYg7dhrC6gH9vFn,https://api.spotify.com/v1/audio-analysis/62bOmKYxYg7dhrC6gH9vFn,200400,4
48,spotify:track:0XkZmBCCcdMY0EPY8ij6Gb,Sabrina Carpenter,Slim Pickins,Island Records,16,60,12,91091,2024-09-03,0XkZmBCCcdMY0EPY8ij6Gb,0.619,0.542,2,-8.681,1,0.0529,0.288,0,0.151,0.308,99.824,audio_features,0XkZmBCCcdMY0EPY8ij6Gb,spotify:track:0XkZmBCCcdMY0EPY8ij6Gb,https://api.spotify.com/v1/tracks/0XkZmBCCcdMY0EPY8ij6Gb,https://api.spotify.com/v1/audio-analysis/0XkZmBCCcdMY0EPY8ij6Gb,152195,4
49,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,3,45,607,90577,2024-09-03,1BxfuPKGuaTgP7aM0Bbdwr,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-5,0.105,0.564,169.994,audio_features,1BxfuPKGuaTgP7aM0Bbdwr,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/tracks/1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/audio-analysis/1BxfuPKGuaTgP7aM0Bbdwr,178427,4
50,spotify:track:2hrycoFU1mZw6YPvMcn8yC,Jordan Adetunji,KEHLANI,300 Entertainment,37,52,77,89512,2024-09-03,2hrycoFU1mZw6YPvMcn8yC,0.645,0.634,10,-3.769,0,0.0341,0.158,3.78e-6,0.0908,0.352,160.017,audio_features,2hrycoFU1mZw6YPvMcn8yC,spotify:track:2hrycoFU1mZw6YPvMcn8yC,https://api.spotify.com/v1/tracks/2hrycoFU1mZw6YPvMcn8yC,https://api.spotify.com/v1/audio-analysis/2hrycoFU1mZw6YPvMcn8yC,122361,4
1,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,1,1,13,347201,2024-09-04,5G2f63n7IPVPPjfNIGih7Q,0.674,0.907,3,-4.086,1,0.064,0.101,0,0.297,0.721,112.964,audio_features,5G2f63n7IPVPPjfNIGih7Q,spotify:track:5G2f63n7IPVPPjfNIGih7Q,https://api.spotify.com/v1/tracks/5G2f63n7IPVPPjfNIGih7Q,https://api.spotify.com/v1/audio-analysis/5G2f63n7IPVPPjfNIGih7Q,157280,4
2,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,1,2,146,286929,2024-09-04,5fZJQrFKWQLb7FpJXZ1g7K,0.722,0.706,9,-4.857,1,0.0292,0.072,0,0.067,0.599,80.969,audio_features,5fZJQrFKWQLb7FpJXZ1g7K,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,https://api.spotify.com/v1/tracks/5fZJQrFKWQLb7FpJXZ1g7K,https://api.spotify.com/v1/audio-analysis/5fZJQrFKWQLb7FpJXZ1g7K,171292,4
3,spotify:track:2qSkIjg1o9h3YT9RAgYN75,Sabrina Carpenter,Espresso,Island Records,2,5,146,255943,2024-09-04,2qSkIjg1o9h3YT9RAgYN75,0.701,0.76,0,-5.478,1,0.0285,0.107,6.54e-5,0.185,0.69,103.969,audio_features,2qSkIjg1o9h3YT9RAgYN75,spotify:track:2qSkIjg1o9h3YT9RAgYN75,https://api.spotify.com/v1/tracks/2qSkIjg1o9h3YT9RAgYN75,https://api.spotify.com/v1/audio-analysis/2qSkIjg1o9h3YT9RAgYN75,175459,4
4,spotify:track:5N3hjp1WNayUPZrA8kJmJP,Sabrina Carpenter,Please Please Please,Island Records,1,4,90,252448,2024-09-04,5N3hjp1WNayUPZrA8kJmJP,0.669,0.586,9,-6.073,1,0.054,0.274,0,0.104,0.579,107.071,audio_features,5N3hjp1WNayUPZrA8kJmJP,spotify:track:5N3hjp1WNayUPZrA8kJmJP,https://api.spotify.com/v1/tracks/5N3hjp1WNayUPZrA8kJmJP,https://api.spotify.com/v1/audio-analysis/5N3hjp1WNayUPZrA8kJmJP,186365,4
5,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,3,3,20,251895,2024-09-04,2plbrEY59IikOBgBGLjaoe,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,audio_features,2plbrEY59IikOBgBGLjaoe,spotify:track:2plbrEY59IikOBgBGLjaoe,https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe,https://api.spotify.com/v1/audio-analysis/2plbrEY59IikOBgBGLjaoe,251668,3
6,spotify:track:5IZXB5IKAD2qlvTPJYDCFB,"Post Malone, Morgan Wallen",I Had Some Help (Feat. Morgan Wallen),Mercury Records / Republic Records,1,6,118,248701,2024-09-04,5IZXB5IKAD2qlvTPJYDCFB,0.644,0.874,0,-4.723,1,0.0265,0.0113,0,0.227,0.753,128.017,audio_features,5IZXB5IKAD2qlvTPJYDCFB,spotify:track:5IZXB5IKAD2qlvTPJYDCFB,https://api.spotify.com/v1/tracks/5IZXB5IKAD2qlvTPJYDCFB,https://api.spotify.com/v1/audio-analysis/5IZXB5IKAD2qlvTPJYDCFB,178206,4
7,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,2,7,111,244708,2024-09-04,6dOtVTDdiauQNBQEDOtlAB,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,audio_features,6dOtVTDdiauQNBQEDOtlAB,spotify:track:6dOtVTDdiauQNBQEDOtlAB,https://api.spotify.com/v1/tracks/6dOtVTDdiauQNBQEDOtlAB,https://api.spotify.com/v1/audio-analysis/6dOtVTDdiauQNBQEDOtlAB,210373,4
8,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,4,8,153,224764,2024-09-04,0WbMK4wrZ1wFSty9F7FCgu,0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,audio_features,0WbMK4wrZ1wFSty9F7FCgu,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,https://api.spotify.com/v1/tracks/0WbMK4wrZ1wFSty9F7FCgu,https://api.spotify.com/v1/audio-analysis/0WbMK4wrZ1wFSty9F7FCgu,218424,4
9,spotify:track:1UHS8Rf6h5Ar3CDWRd3wjF,Sabrina Carpenter,Bed Chem,Island Records,9,9,13,198608,2024-09-04,1UHS8Rf6h5Ar3CDWRd3wjF,0.739,0.727,11,-5.968,0,0.0426,0.0678,0,0.104,0.676,94.99,audio_features,1UHS8Rf6h5Ar3CDWRd3wjF,spotify:track:1UHS8Rf6h5Ar3CDWRd3wjF,https://api.spotify.com/v1/tracks/1UHS8Rf6h5Ar3CDWRd3wjF,https://api.spotify.com/v1/audio-analysis/1UHS8Rf6h5Ar3CDWRd3wjF,171870,4
10,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",1,10,230,189927,2024-09-04,3xkHsmpQCBMytMJNiDf3Ii,0.472,0.471,10,-5.692,1,0.0603,0.151,0,0.14,0.219,105.029,audio_features,3xkHsmpQCBMytMJNiDf3Ii,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,https://api.spotify.com/v1/tracks/3xkHsmpQCBMytMJNiDf3Ii,https://api.spotify.com/v1/audio-analysis/3xkHsmpQCBMytMJNiDf3Ii,180304,3
11,spotify:track:2uqYupMHANxnwgeiXTZXzd,Dasha,Austin (Boots Stop Workin'),Warner Records,8,11,198,167392,2024-09-04,2uqYupMHANxnwgeiXTZXzd,0.756,0.672,0,-6.743,1,0.0522,0.464,3.37e-6,0.108,0.739,114.935,audio_features,2uqYupMHANxnwgeiXTZXzd,spotify:track:2uqYupMHANxnwgeiXTZXzd,https://api.spotify.com/v1/tracks/2uqYupMHANxnwgeiXTZXzd,https://api.spotify.com/v1/audio-analysis/2uqYupMHANxnwgeiXTZXzd,171783,4
12,spotify:track:5Z0UnEtpLDQyYlWwgi8m9C,Hozier,Too Sweet,Columbia,1,12,167,158183,2024-09-04,5Z0UnEtpLDQyYlWwgi8m9C,0.741,0.62,10,-5.505,1,0.0412,0.0295,8.09e-4,0.0398,0.934,117.038,audio_features,5Z0UnEtpLDQyYlWwgi8m9C,spotify:track:5Z0UnEtpLDQyYlWwgi8m9C,https://api.spotify.com/v1/tracks/5Z0UnEtpLDQyYlWwgi8m9C,https://api.spotify.com/v1/audio-analysis/5Z0UnEtpLDQyYlWwgi8m9C,251424,4
13,spotify:track:6GG4yyk3UATdBfTHVgI8PB,Luke Combs,Ain't No Love In Oklahoma (From Twisters: The Album),Atlantic Records,13,13,112,150718,2024-09-04,6GG4yyk3UATdBfTHVgI8PB,0.487,0.658,5,-9.973,1,0.0296,0.00877,0.00777,0.1,0.282,142.18,audio_features,6GG4yyk3UATdBfTHVgI8PB,spotify:track:6GG4yyk3UATdBfTHVgI8PB,https://api.spotify.com/v1/tracks/6GG4yyk3UATdBfTHVgI8PB,https://api.spotify.com/v1/audio-analysis/6GG4yyk3UATdBfTHVgI8PB,210950,4
14,spotify:track:0OA00aPt3BV10qeMIs3meW,"Hanumankind, Kalmi",Big Dawgs,Universal Music India Pvt Ltd.,8,14,40,148635,2024-09-04,0OA00aPt3BV10qeMIs3meW,0.464,0.745,4,-3.202,0,0.161,0.0235,0,0.363,0.262,180.098,audio_features,0OA00aPt3BV10qeMIs3meW,spotify:track:0OA00aPt3BV10qeMIs3meW,https://api.spotify.com/v1/tracks/0OA00aPt3BV10qeMIs3meW,https://api.spotify.com/v1/audio-analysis/0OA00aPt3BV10qeMIs3meW,190667,4
15,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,3,16,339,147878,2024-09-04,17phhZDn6oGtzMe56NuWvj,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-5,0.104,0.242,159.92,audio_features,17phhZDn6oGtzMe56NuWvj,spotify:track:17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj,210689,3
16,spotify:track:4KULAymBBJcPRpk1yO4dOG,"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),Warner Records,1,19,377,147600,2024-09-04,4KULAymBBJcPRpk1yO4dOG,0.429,0.453,0,-7.746,1,0.0459,0.554,2e-6,0.102,0.155,77.639,audio_features,4KULAymBBJcPRpk1yO4dOG,spotify:track:4KULAymBBJcPRpk1yO4dOG,https://api.spotify.com/v1/tracks/4KULAymBBJcPRpk1yO4dOG,https://api.spotify.com/v1/audio-analysis/4KULAymBBJcPRpk1yO4dOG,227196,4
17,spotify:track:0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,Mercury Records/Republic Records,1,15,521,146576,2024-09-04,0mflMxspEfB0VbI1kyLiAv,0.664,0.5,9,-6.935,1,0.0651,0.799,0,0.0966,0.801,117.896,audio_features,0mflMxspEfB0VbI1kyLiAv,spotify:track:0mflMxspEfB0VbI1kyLiAv,https://api.spotify.com/v1/tracks/0mflMxspEfB0VbI1kyLiAv,https://api.spotify.com/v1/audio-analysis/0mflMxspEfB0VbI1kyLiAv,182347,4
18,spotify:track:4ZJ4vzLQekI0WntDbanNC7,Zach Bryan,Pink Skies,Warner Records,6,17,104,143567,2024-09-04,4ZJ4vzLQekI0WntDbanNC7,0.525,0.488,0,-6.909,1,0.038,0.191,5.14e-5,0.135,0.253,84.999,audio_features,4ZJ4vzLQekI0WntDbanNC7,spotify:track:4ZJ4vzLQekI0WntDbanNC7,https://api.spotify.com/v1/tracks/4ZJ4vzLQekI0WntDbanNC7,https://api.spotify.com/v1/audio-analysis/4ZJ4vzLQekI0WntDbanNC7,194920,4
19,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,Not Like Us,"Kendrick Lamar, under exclusive license to Interscope Records",1,20,123,143471,2024-09-04,6AI3ezQ4o3HUoP6Dhudph3,0.898,0.472,1,-7.001,1,0.0776,0.0107,0,0.141,0.214,101.061,audio_features,6AI3ezQ4o3HUoP6Dhudph3,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,https://api.spotify.com/v1/tracks/6AI3ezQ4o3HUoP6Dhudph3,https://api.spotify.com/v1/audio-analysis/6AI3ezQ4o3HUoP6Dhudph3,274192,4
20,spotify:track:4xdBrk0nFZaP54vvZj0yx7,Chappell Roan,HOT TO GO!,Chappell Roan PS/ Island,15,21,94,139647,2024-09-04,4xdBrk0nFZaP54vvZj0yx7,0.742,0.757,6,-4.981,1,0.0421,0.0187,0,0.305,0.957,139.982,audio_features,4xdBrk0nFZaP54vvZj0yx7,spotify:track:4xdBrk0nFZaP54vvZj0yx7,https://api.spotify.com/v1/tracks/4xdBrk0nFZaP54vvZj0yx7,https://api.spotify.com/v1/audio-analysis/4xdBrk0nFZaP54vvZj0yx7,184841,4
21,spotify:track:102YUQbYmwdBXS7jwamI90,Sabrina Carpenter,Good Graces,Island Records,10,18,13,137680,2024-09-04,102YUQbYmwdBXS7jwamI90,0.758,0.759,5,-5.315,1,0.0479,0.329,3.96e-6,0.144,0.732,126.012,audio_features,102YUQbYmwdBXS7jwamI90,spotify:track:102YUQbYmwdBXS7jwamI90,https://api.spotify.com/v1/tracks/102YUQbYmwdBXS7jwamI90,https://api.spotify.com/v1/audio-analysis/102YUQbYmwdBXS7jwamI90,185265,4
22,spotify:track:3WOhcATHxK2SLNeP5W3v1v,"Charli xcx, Billie Eilish",Guess featuring billie eilish,Atlantic Records,3,22,34,132841,2024-09-04,3WOhcATHxK2SLNeP5W3v1v,0.776,0.667,7,-6.622,1,0.0983,0.0146,0.3,0.0761,0.618,130.019,audio_features,3WOhcATHxK2SLNeP5W3v1v,spotify:track:3WOhcATHxK2SLNeP5W3v1v,https://api.spotify.com/v1/tracks/3WOhcATHxK2SLNeP5W3v1v,https://api.spotify.com/v1/audio-analysis/3WOhcATHxK2SLNeP5W3v1v,145219,4
23,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,Tommy Richman,MILLION DOLLAR BABY,PULSE Records,2,23,132,129918,2024-09-04,5AJ9hqTS2wcFQCELCFRO7A,0.852,0.697,1,-5.52,0,0.0439,0.0973,3.7e-4,0.0678,0.919,138.029,audio_features,5AJ9hqTS2wcFQCELCFRO7A,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,https://api.spotify.com/v1/tracks/5AJ9hqTS2wcFQCELCFRO7A,https://api.spotify.com/v1/audio-analysis/5AJ9hqTS2wcFQCELCFRO7A,155152,4
24,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,Myles Smith,Stargazing,RCA Records Label,12,24,118,123395,2024-09-04,3Vr3zh0r7ALn8VLqCiRR10,0.635,0.601,1,-6.129,0,0.0295,0.246,0,0.11,0.332,123.994,audio_features,3Vr3zh0r7ALn8VLqCiRR10,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,https://api.spotify.com/v1/tracks/3Vr3zh0r7ALn8VLqCiRR10,https://api.spotify.com/v1/audio-analysis/3Vr3zh0r7ALn8VLqCiRR10,172533,4
25,spotify:track:5iJKGpnFfvbjZJeAtwXfCj,Zach Bryan,28,Warner Records,14,25,63,121659,2024-09-04,5iJKGpnFfvbjZJeAtwXfCj,0.492,0.519,7,-6.886,1,0.0288,0.227,8.47e-5,0.0693,0.435,80.868,audio_features,5iJKGpnFfvbjZJeAtwXfCj,spotify:track:5iJKGpnFfvbjZJeAtwXfCj,https://api.spotify.com/v1/tracks/5iJKGpnFfvbjZJeAtwXfCj,https://api.spotify.com/v1/audio-analysis/5iJKGpnFfvbjZJeAtwXfCj,233333,3
26,spotify:track:3Pbp7cUCx4d3OAkZSCoNvn,Michael Marcagi,Scared To Start,Warner Records,11,29,233,120476,2024-09-04,3Pbp7cUCx4d3OAkZSCoNvn,0.527,0.551,7,-11.258,1,0.0345,0.384,2.75e-6,0.403,0.443,148.035,audio_features,3Pbp7cUCx4d3OAkZSCoNvn,spotify:track:3Pbp7cUCx4d3OAkZSCoNvn,https://api.spotify.com/v1/tracks/3Pbp7cUCx4d3OAkZSCoNvn,https://api.spotify.com/v1/audio-analysis/3Pbp7cUCx4d3OAkZSCoNvn,159636,4
27,spotify:track:7K3BhSpAxZBznislvUMVtn,Morgan Wallen,Last Night,Big Loud Records / Mercury Records / Republic Records,1,28,583,117566,2024-09-04,7K3BhSpAxZBznislvUMVtn,0.492,0.673,6,-5.431,1,0.0347,0.413,0,0.137,0.488,203.812,audio_features,7K3BhSpAxZBznislvUMVtn,spotify:track:7K3BhSpAxZBznislvUMVtn,https://api.spotify.com/v1/tracks/7K3BhSpAxZBznislvUMVtn,https://api.spotify.com/v1/audio-analysis/7K3BhSpAxZBznislvUMVtn,163855,4
28,spotify:track:3WMj8moIAXJhHsyLaqIIHI,Zach Bryan,Something in the Orange,Warner Records,8,26,852,117027,2024-09-04,3WMj8moIAXJhHsyLaqIIHI,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-6,0.0954,0.148,175.212,audio_features,3WMj8moIAXJhHsyLaqIIHI,spotify:track:3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/tracks/3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/audio-analysis/3WMj8moIAXJhHsyLaqIIHI,228013,3
29,spotify:track:21B4gaTWnTkuSh77iWEXdS,Sabrina Carpenter,Juno,Island Records,20,27,13,116544,2024-09-04,21B4gaTWnTkuSh77iWEXdS,0.633,0.725,5,-4.257,1,0.0427,0.0461,0,0.205,0.64,130.504,audio_features,21B4gaTWnTkuSh77iWEXdS,spotify:track:21B4gaTWnTkuSh77iWEXdS,https://api.spotify.com/v1/tracks/21B4gaTWnTkuSh77iWEXdS,https://api.spotify.com/v1/audio-analysis/21B4gaTWnTkuSh77iWEXdS,223192,4
30,spotify:track:7Fzl7QaTu47WyP9R5S5mh5,Morgan Wallen,Lies Lies Lies,Big Loud Records / Mercury Records / Republic Records,7,35,62,113433,2024-09-04,7Fzl7QaTu47WyP9R5S5mh5,0.486,0.702,1,-5.758,0,0.0298,0.239,7.54e-5,0.0912,0.382,81.053,audio_features,7Fzl7QaTu47WyP9R5S5mh5,spotify:track:7Fzl7QaTu47WyP9R5S5mh5,https://api.spotify.com/v1/tracks/7Fzl7QaTu47WyP9R5S5mh5,https://api.spotify.com/v1/audio-analysis/7Fzl7QaTu47WyP9R5S5mh5,198069,4
31,spotify:track:51eSHglvG1RJXtL3qI5trr,Benson Boone,Slow It Down,"Night Street Records, Inc./Warner Records Inc.",19,33,167,111964,2024-09-04,51eSHglvG1RJXtL3qI5trr,0.432,0.583,8,-4.682,1,0.0687,0.174,0,0.0933,0.544,181.489,audio_features,51eSHglvG1RJXtL3qI5trr,spotify:track:51eSHglvG1RJXtL3qI5trr,https://api.spotify.com/v1/tracks/51eSHglvG1RJXtL3qI5trr,https://api.spotify.com/v1/audio-analysis/51eSHglvG1RJXtL3qI5trr,161831,4
32,spotify:track:51rfRCiUSvxXlCSCfIztBy,Gracie Abrams,"I Love You, I'm Sorry","Gracie Abrams, under exclusive license to Interscope Records",30,30,43,111480,2024-09-04,51rfRCiUSvxXlCSCfIztBy,0.53,0.406,10,-7.507,1,0.033,0.656,0,0.133,0.338,115.94,audio_features,51rfRCiUSvxXlCSCfIztBy,spotify:track:51rfRCiUSvxXlCSCfIztBy,https://api.spotify.com/v1/tracks/51rfRCiUSvxXlCSCfIztBy,https://api.spotify.com/v1/audio-analysis/51rfRCiUSvxXlCSCfIztBy,157147,3
33,spotify:track:0UYnhUfnUj5adChuAXvLUB,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,31,31,32,110271,2024-09-04,0UYnhUfnUj5adChuAXvLUB,0.492,0.416,11,-10.439,1,0.0254,0.686,8.61e-5,0.203,0.297,94.926,audio_features,0UYnhUfnUj5adChuAXvLUB,spotify:track:0UYnhUfnUj5adChuAXvLUB,https://api.spotify.com/v1/tracks/0UYnhUfnUj5adChuAXvLUB,https://api.spotify.com/v1/audio-analysis/0UYnhUfnUj5adChuAXvLUB,211979,4
34,spotify:track:1eroCliWpJrEu1V7VSObcO,Drake,Circadian Rhythm,OVO/Republic,34,36,5,110159,2024-09-04,1eroCliWpJrEu1V7VSObcO,0.694,0.574,1,-6.144,0,0.0483,0.193,0,0.082,0.286,146.007,audio_features,1eroCliWpJrEu1V7VSObcO,spotify:track:1eroCliWpJrEu1V7VSObcO,https://api.spotify.com/v1/tracks/1eroCliWpJrEu1V7VSObcO,https://api.spotify.com/v1/audio-analysis/1eroCliWpJrEu1V7VSObcO,126356,4
35,spotify:track:6StwwqB84sJeLr7tZDTxEX,"Post Malone, Luke Combs",Guy For That (Feat. Luke Combs),Mercury Records / Republic Records,4,40,41,108311,2024-09-04,6StwwqB84sJeLr7tZDTxEX,0.611,0.911,8,-4.106,1,0.0647,0.0061,0,0.135,0.495,119.986,audio_features,6StwwqB84sJeLr7tZDTxEX,spotify:track:6StwwqB84sJeLr7tZDTxEX,https://api.spotify.com/v1/tracks/6StwwqB84sJeLr7tZDTxEX,https://api.spotify.com/v1/audio-analysis/6StwwqB84sJeLr7tZDTxEX,164011,4
36,spotify:track:1XBYiRV30ykHw5f4wm6qEn,The Kid LAROI,NIGHTS LIKE THIS,Columbia,34,34,75,105993,2024-09-04,1XBYiRV30ykHw5f4wm6qEn,0.482,0.757,6,-4.586,1,0.0355,0.0137,0.0016,0.143,0.12,142.579,audio_features,1XBYiRV30ykHw5f4wm6qEn,spotify:track:1XBYiRV30ykHw5f4wm6qEn,https://api.spotify.com/v1/tracks/1XBYiRV30ykHw5f4wm6qEn,https://api.spotify.com/v1/audio-analysis/1XBYiRV30ykHw5f4wm6qEn,86984,4
37,spotify:track:1560osUcXrnov6yuOjXvc1,Drake,No Face,OVO,26,32,4,105787,2024-09-04,1560osUcXrnov6yuOjXvc1,0.853,0.69,10,-5.858,1,0.0647,0.0771,0,0.0835,0.471,125.951,audio_features,1560osUcXrnov6yuOjXvc1,spotify:track:1560osUcXrnov6yuOjXvc1,https://api.spotify.com/v1/tracks/1560osUcXrnov6yuOjXvc1,https://api.spotify.com/v1/audio-analysis/1560osUcXrnov6yuOjXvc1,137143,4
